,장소,주차장수,면수,주차장수 대비 면수
339,서울특별시 강남구 논현동 238-5주변,15.0,1652.0,110.13333333333334
340,서울특별시 강남구 청담동 압구정로72길 20 주변,2.0,31.0,15.5
341,서울특별시 강남구 역삼동 역삼동 755-10 주변,3.0,455.0,151.66666666666666
342,서울특별시 강남구 압구정동 397,7.0,959.0,137.0
343,서울특별시 강남구 대치동 테헤란로 518 주변,13.0,6634.0,510.3076923076923
344,서울특별시 강남구 자곡동 자곡로3길 21 주변,0.0,0.0,0.0
345,서울특별시 강남구 청담동 02월 14일,2.0,54.0,27.0
346,서울특별시 강남구 개포동 개포로22길 87 주변,0.0,0.0,0.0
347,서울특별시 강남구 압구정동 455,0.0,0.0,0.0
348,서울특별시 강남구 수서동 725-1,0.0,0.0,0.0
349,서울특별시 강남구 신사동 570-8,9.0,1472.0,163.55555555555554
350,서울특별시 강남구 역삼동 722,11.0,2883.0,262.09090909090907
351,서울특별시 강남구 논현동 245,13.0,1531.0,117.76923076923077
352,서울특별시 강남구 신사동 667-13,14.0,1125.0,80.35714285714286
353,서울특별시 강남구 논현동 158,17.0,848.0,49.88235294117647
354,서울특별시 강남구 논현동 언주로 619 주변,3.0,281.0,93.66666666666667
355,서울특별시 강남구 역삼동 721,12.0,2959.0,246.58333333333334
356,서울특별시 강남구 역삼동 739,8.0,1728.0,216.0
357,서울특별시 강남구 신사동 658,1.0,45.0,45.0
358,서울특별시 강남구 논현동 99-19,12.0,1640.0,136.66666666666666
359,서울특별시 강남구 삼성동 봉은사로 524 주변,4.0,2421.0,605.25
360,서울특별시 강남구 삼성동 143-9,13.0,5233.0,402.53846153846155
361,서울특별시 강남구 신사동 504-11,13.0,430.0,33.07692307692308
