,장소,주차장(1등급),주차장(2등급),주차장(3등급)
359,서울특별시 강남구 삼성동 봉은사로 524 주변,0.0,0.0,10.0
360,서울특별시 강남구 삼성동 143-9,0.0,1.0,12.0
361,서울특별시 강남구 신사동 504-11,0.0,0.0,6.0
362,서울특별시 강남구 일원동 731-1,0.0,0.0,3.0
363,서울특별시 강남구 대치동 890-59번지,0.0,1.0,8.0
364,서울특별시 강남구 역삼동 824-11,0.0,0.0,3.0
365,서울특별시 강남구 대치동 902,0.0,1.0,9.0
366,서울특별시 강남구 청담동 90-19,0.0,0.0,15.0
367,서울특별시 강남구 역삼동 649-1,0.0,0.0,9.0
368,서울특별시 강남구 신사동 522-1,1.0,0.0,6.0
369,서울특별시 강남구 압구정동 449,0.0,1.0,9.0
370,서울특별시 강남구 신사동 649-9,0.0,0.0,17.0
371,서울특별시 강남구 역삼동 835-67,0.0,0.0,3.0
372,서울특별시 강남구 대치동 891-27,0.0,1.0,11.0
373,서울특별시 강남구 논현동 248-1,0.0,0.0,8.0
374,서울특별시 강남구 역삼동 722-4,0.0,0.0,8.0
375,서울특별시 강남구 대치2동 신학철피부과의원 부근,0.0,2.0,0.0
376,서울특별시 강남구 도곡동 957-11,1.0,0.0,0.0
377,서울특별시 강남구 삼성동 149-33,0.0,1.0,11.0
378,서울특별시 강남구 역삼동 642-9,0.0,0.0,16.0
379,서울특별시 강남구 대치동 890,0.0,1.0,8.0
